STATION,NAME,DATE,TAVG
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/1/2017,64
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/2/2017,70
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/3/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/4/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/5/2017,69
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/6/2017,70
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/7/2017,73
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/8/2017,73
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/9/2017,73
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/10/2017,69
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/11/2017,66
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/12/2017,56
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/13/2017,59
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/14/2017,62
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/15/2017,62
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/16/2017,60
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/17/2017,62
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/18/2017,65
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/19/2017,66
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/20/2017,64
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/21/2017,59
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/22/2017,63
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/23/2017,64
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/24/2017,68
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/25/2017,71
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/26/2017,69
VNM00048820,"NOIBAI INTERNATIONAL, VN",1/27/2017,69
